Sample.Name,,,,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,inj.vol,Blanks
170518_Smp_SPEpH8_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:08,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_EtACpH8_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:09,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Smp_EtACpH8_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:10,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Blk_Blk_6,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Poo_TruePoo_Half2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:03,15,CyanoAq,1,1,1,0.5,170518_Blk_MQBlk_1
170518_Poo_TruePoo_Full2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:04,15,CyanoAq,1,1,1,1,170518_Blk_MQBlk_1
170518_Smp_SPEpH5_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:11,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_EtACpH5_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:12,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Blk_Blk_7,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Smp_SPEpH5_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:13,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_SPEpH5_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:14,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_EtACpH5_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:15,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Smp_EtACpH5_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:16,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Blk_Blk_8,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Smp_EtACpH2_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:17,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Smp_EtACpH2_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:18,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Smp_SPEpH2_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:19,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_EtACpH2_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:20,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Blk_Blk_9,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Smp_SPEpH2_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:21,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_SPEpH2_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:22,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Poo_TruePoo_Half3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:03,15,CyanoAq,1,1,1,0.5,170518_Blk_MQBlk_1
170518_Poo_TruePoo_Full3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:04,15,CyanoAq,1,1,1,1,170518_Blk_MQBlk_1
170518_Blk_Blk_10,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Std_250nMStdsInH2O_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:02,15,CyanoAq,1,1,1,1,
170518_Blk_Blk_11,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Blk_Blk_12,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
