"","Compound.Name","spikeafter1","spikeafter2","spikeafter3","spikebefore","percent.recovery","Group"
"34","Dimethyl glycine",24715753.2660447,-2279053.59802594,256240815.890862,19263954.7140265,39,"Amino Acid derivative"
"35","Ethyl 3 aminobenzoate",1071619795.47391,480515958.45098,242503732.033795,803994421.151617,38,"Lignin"
"36","3 Indolepropionic Acid",17007393.795848,3275049.99031094,1398497.59232742,11781473.3843505,35,"Phytohormone"
"37","HHQ",1229280376.59017,409355970.794963,180314641.400647,834146912.073548,34,"Quorum sensing"
"38","3-Indoleacetonitrile",2752757.39144302,1166635.04097823,604526.913677202,1817744.65735838,33,"Phytohormone"
"39","Acetosyringone",17191429.2566467,3510236.91693648,1672839.16028186,9658721.51081885,28,"Lignin"
"40","Arachidonic Acid",473449.061813023,242528.041291258,193339.103033489,243681.462873674,26,"Fatty Acid"
"41","Pyridoxal Phosphate",422635442.26189,36106177.4210599,1105470194.83785,218391173.816356,26,"Vitamin"
"42","Indole 3 carboxylic acid",16550942.2658635,4276472.64387415,2642006.74455491,7867184.39879287,24,"Phytohormone"
"43","Vitamin B9",36597458.6757814,26771295.9271234,10287290.9814846,14664847.2020528,20,"Vitamin"
"44","Domoic Acid",5085171.91409927,2090383.75285217,1033124.21730162,1929455.9738893,19,"Toxin "
"45","Melatonin",450782165.797481,91415486.9121214,38009792.4249597,171107193.014675,19,"Circadian"
"46","Vitamin B6",51713926.2680205,20818850.5607251,10340153.8848197,20016228.9006269,19,"Vitamin"
"47","Tryptophol",38284868.6245569,8302148.35060961,4122305.37898084,12789069.5766616,17,"Phytohormone"
"48","Pyridoxal",12656401.9268597,7306961.69975976,4942841.08333614,3691465.27198121,15,"Vitamin"
"49","Indole 3 methyl acetate",44841389.9389203,9449031.8449314,4330382.54297665,11675496.3248345,13,"Phytohormone"
"50","Vitamin B1",49907702.6028036,5628127.49937305,-3592882.62382065,13046873.6002004,13,"Vitamin"
"51","Camalexin",535732012.371473,109460916.699489,50977794.9701853,91175850.5808755,9,"Phytohormone"
"52","DHA",1248818.91745932,337289.055398828,239179.794749013,163063.968136203,7,"Fatty Acid"
"53","Vitamin B5",6095712.53854349,3124069.11889147,1767692.15401574,711510.086310899,6,"Vitamin"
"54","trans cinnamic acid",146384831.599078,18369514.43592,-457370.873629254,13959228.9172361,5,"Lignin"
"55","trans cinnamic acid",146384831.599078,18369514.43592,-457370.873629254,13959228.9172361,5,"Trouble Compounds"
"56","Vanillic Acid",1520016.44924991,1027199.81406904,626592.646965673,136746.373856398,4,"Lignin"
"57","Coenzyme Q10",304959.417513174,175309.267177646,122017.825987896,16922.1521717178,3,"Quinone"
"58","Vitamin B3",14240946.3580603,6244804.57708723,3372086.85581871,988970.021890157,3,"Vitamin"
"59","Adenosyl Methionine",523644060.315995,83009056.4483816,88919308.6769548,21306257.2525724,2,"Amino Acid synthesis"
"60","C14-HSL",23239831.754994,10224289.5956698,3583753.01583085,642490.614347744,1,"Quorum sensing"
"61","Glutathione",8094233.11029844,636289.621574517,15602599.4279625,118855.987221398,1,"Antioxidant"
"62","Thiamine monophosphate",56932176.8229616,6054897.3913556,4572939.37976074,1385461.83316571,1,"Vitamin (B1-derivative)"
"63","3OC10-HSL",163912754.285757,13181464.8445306,1902238.71808314,1233.87921926789,0,"Quorum sensing"
"64","3OC12-HSL",92906659.2889716,9167992.82850054,1381632.87250565,171.38190720091,0,"Quorum sensing"
"65","3OC6-HSL",88147411.8989822,12780707.6946344,2298190.42589376,10.5352440950248,0,"Quorum sensing"
"66","3OC8-HSL",66161305.0217114,4829726.94839999,623868.918509906,5.60720047024393,0,"Quorum sensing"
"67","3OHC12-HSL",52098374.9396616,10179297.6816572,2899827.4871564,2859.25410268142,0,"Quorum sensing"
"68","7-dehydrocholesterol",222247.227489303,60379.2633251259,37289.8698117604,173.566171916779,0,"Sterol"
"69","Aminobenzoic Acid",74867213.6666667,32540529,18730640.3333333,0,0,"Lignin"
"70","C10-HSL",30869433.1146477,5684630.87146155,1929956.61857943,44149.9160394438,0,"Quorum sensing"
"71","C12-HSL",105555728.762349,21619005.0277243,6887283.05119578,1986.4245455375,0,"Quorum sensing"
"72","C4-HSL",10833434.4184789,2894431.36407014,1289312.0522051,293.514166131282,0,"Quorum sensing"
"73","C6-HSL",78020807.6726944,13440868.9588944,3741734.12242977,888.888832440778,0,"Quorum sensing"
"74","C8-HSL",65392383.3374666,11427656.1493124,3710976.06347041,3240.961871801,0,"Quorum sensing"
"75","Carotene",2014091.85246022,1475856.67829681,928586.924615919,15703.9335703067,0,"Antioxidant pigment"
"76","cinnamoyl-HSL",31423240.3226681,5209956.46237935,1479949.60664836,12485.7598681622,0,"Quorum sensing"
"77","Coenzyme Q1",39893856.9035324,9998318.10775141,4980436.63450387,0,0,"Quinone"
"78","EPA",1077578.10640169,144504.842657891,322210.739054178,0,0,"Fatty Acid"
"79","Ergosterol",832129.69807837,260856.457007562,182967.290176843,164.952067823498,0,"Sterol"
"80","Methylthioadenosine",-1635231.66666667,-1635231.66666667,1343788413.66667,0,0,"New"
"81","Monesin",13357612.0254982,2797535.42694883,857871.007013738,98658.3165764251,0,"Antibiotic"
"82","p-Coumoroyl-HSL",71095953.6393129,11365985.4342462,3414376.84553147,26.2653074658796,0,"Quorum sensing"
"83","Syringic Acid",11063243.4270956,6307990.94606331,3058769.42923107,18434.7309140682,0,"Lignin"
"84","thiamine pyrophosphate",133848221.701252,33534742.2071418,8712308.53962409,492057.590241254,0,"Vitamin (B1-derivative)"
"85","Tocopherol (Vit E)",669753.258034081,109312.294980018,20666.0493730578,7.43702154637235,0,"Vitamin (fat soluble)"
"86","Tocotrienol",981068.740166396,254202.735934581,59234.8132387892,301.975177034018,0,"Vitamin (fat soluble)"
"87","trans Retinal",2323349.87806738,604364.347209018,264599.168802206,2128.43468111016,0,"Vitamin rhodopsin"
"88","Tryptamine",8684507.82384514,4069341.45106503,1692409.60866289,11691.1756084188,0,"Phytohormone"
"89","Vitamin D2",1364055.50665546,411990.742901632,287025.616622803,82.7168007963434,0,"Vitamin (fat soluble)"
"90","Vitamin K1",298325.237418163,66979.2313217854,43244.3219743273,505.533389764624,0,"Quinone"
"91","Vitamin K2",345264.601588948,102442.993078266,76894.3856416355,139.858808073509,0,"Quinone"
"92","d-IAA",0,0,0,0,NA,"Internal Std"
"93","D-Phenylalanine",0,0,0,0,NA,"Internal Std"
"94","D-Tryptophan",0,0,0,0,NA,"Internal Std"
"95","D3-Pyridoxal",0,0,0,0,NA,"Internal Std"
"96","d4-Tryptamine",0,0,0,0,NA,"Internal Std"
"97","D5-DHA",0,0,0,0,NA,"Internal Std"
"98","D5-EPA",0,0,0,0,NA,"Internal Std"
"99","D6-Tocopherol",0,0,0,0,NA,"Internal Std"
"100","D8-Arachidonic Acid",0,0,0,0,NA,"Internal Std"
"101","Vitamin B1_IS",0,0,0,0,NA,"Internal Std"
"102","Vitamin B2_IS",0,0,0,0,NA,"Internal Std"
